movie_name,rating,language,year,label_lang_rating,USER RATING
eXistenZ,R,English,1999,English - Mature,Not found
Prizzi's Honor,R,English,1985,English - Mature,6.7
The List,R,English,2023,English - Mature,4.3
Death Sentence,R,English,2007,English - Mature,6.7
Hall Pass,R,English,2011,English - Mature,Not found
Atomic Blonde,R,English,2017,English - Mature,Not found
Appaloosa,R,English,2008,English - Mature,6.7
The Flood,R,English,2023,English - Mature,4.3
Vinyl,TV-MA,English,2016,English - Mature,Not found
Witness,R,English,1985,English - Mature,Not found
Empire of Light,R,English,2022,English - Mature,6.7
The Last Supper,R,English,1995,English - Mature,6.7
Death Valley: The Revenge of Bloody Bill,R,English,2004,English - Mature,Not found
Resident Evil: Retribution,R,English,2012,English - Mature,Not found
Fatal Attraction,R,English,1987,English - Mature,Not found
Never Let Go,R,English,2024,English - Mature,Not found
Death of a President,R,English,2006,English - Mature,Not found
Tales from the Crypt: Demon Knight,R,English,1995,English - Mature,6.7
Underworld: Awakening,R,English,2012,English - Mature,Not found
Skeletons in the Closet,R,English,2001,English - Mature,3.0
Don't Go,R,English,1979,English - Mature,Not found
Guava Island,TV-MA,English,2019,English - Mature,6.7
District 9,R,English,2009,English - Mature,Not found
Tail Sting,R,English,2001,English - Mature,2.5
The Blob,R,English,1988,English - Mature,6.7
In My Father's Den,R,English,2004,English - Mature,Not found
The Brave One,R,English,2007,English - Mature,6.7
Resident Evil: The Final Chapter,R,English,2016,English - Mature,Not found
Hardcore Henry,R,English,2015,English - Mature,Not found
Wisdom,R,English,1986,English - Mature,Not found
Truck Stop Women,R,English,1974,English - Mature,Not found
The Incubus,R,English,1981,English - Mature,Not found
The Other Side,R,English,2006,English - Mature,6.8
Slaughterhouse-Five,R,English,1972,English - Mature,6.8
Above Suspicion,R,English,2019,English - Mature,Not found
Sinister,R,English,2012,English - Mature,Not found
The Talented Mr. Ripley,R,English,1999,English - Mature,Not found
Harsh Times,R,English,2005,English - Mature,6.8
Young Guns,R,English,1988,English - Mature,6.8
Body Double,R,English,1984,English - Mature,6.8
Mallrats,R,English,1995,English - Mature,Not found
Snow on Tha Bluff,R,English,2011,English - Mature,Not found
Trailer Park Boys: Countdown to Liquor Day,R,English,2009,English - Mature,Not found
The House,R,English,2017,English - Mature,6.8
Brooklyn Rules,R,English,2007,English - Mature,Not found
Veronica Guerin,R,English,2003,English - Mature,6.8
Razorback,R,English,1984,English - Mature,Not found
The Lighthouse,R,English,2019,English - Mature,6.8
Ghost in the Machine,R,English,1993,English - Mature,Not found
A Perfect Day,R,English,2015,English - Mature,6.8
As We Know It,R,English,2023,English - Mature,4.3
Lucky Bastard,NC-17,English,2014,English - Mature,4.3
Don't Breathe,R,English,2016,English - Mature,Not found
The Crow,R,English,1994,English - Mature,Not found
The Boys,TV-MA,English,2019–2026,English - Mature,Not found
All Over Me,R,English,1997,English - Mature,Not found
Fingers,R,English,1978,English - Mature,Not found
Face/Off,R,English,1997,English - Mature,Not found
The Outpost,R,English,2019,English - Mature,6.9
Goon,R,English,2011,English - Mature,6.8
Kissing a Fool,R,English,1998,English - Mature,Not found
Margin Call,R,English,2011,English - Mature,Not found
Jackie Brown,R,English,1997,English - Mature,Not found
Thin Ice,R,English,2011,English - Mature,Not found
Stripes,R,English,1981,English - Mature,6.8
Normal Life,R,English,1996,English - Mature,Not found
Swan Song,R,English,2021,English - Mature,6.8
Black Rose,TV-MA,English,2014,English - Mature,Not found
Walking and Talking,R,English,1996,English - Mature,Not found
Angela's Ashes,R,English,1999,English - Mature,7.3
Patriots Day,R,English,2016,English - Mature,Not found
Game Night,R,English,2018,English - Mature,Not found
Watchmen,R,English,2009,English - Mature,Not found
Children of Men,R,English,2006,English - Mature,Not found
The Mist,R,English,2007,English - Mature,Not found
After Everything,R,English,2023,English - Mature,Not found
It Comes at Night,R,English,2017,English - Mature,Not found
Hostage,R,English,2005,English - Mature,Not found
Frances Ha,R,English,2012,English - Mature,Not found
Okja,TV-MA,English,2017,English - Mature,Not found
I Spit on Your Grave,R,English,2010,English - Mature,Not found
Bad Boys for Life,R,English,2020,English - Mature,Not found
28 Days Later,R,English,2002,English - Mature,Not found
The Devil All the Time,R,English,2020,English - Mature,Not found
Blue Velvet,R,English,1986,English - Mature,Not found
The 40-Year-Old Virgin,R,English,2005,English - Mature,Not found
Love Actually,R,English,2003,English - Mature,Not found
Closer,R,English,2004,English - Mature,Not found
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,R,English,2013,English - Mature,Not found
The Thing,R,English,1982,English - Mature,Not found
Unfaithful,R,English,2002,English - Mature,Not found
Batman v Superman: Dawn of Justice,R,English,2016,English - Mature,Not found
Beverly Hills Cop,R,English,1984,English - Mature,Not found
The Girl with the Dragon Tattoo,R,English,2011,English - Mature,Not found
Clown Motel: Spirits Arise,TV-MA,English,2019,English - Mature,Not found
Texas Chainsaw Massacre: The Next Generation,R,English,1994,English - Mature,3.4
28 Weeks Later,R,English,2007,English - Mature,Not found
End of Days,R,English,1999,English - Mature,Not found
A Cure for Wellness,R,English,2016,English - Mature,Not found
August,R,English,2008,English - Mature,Not found
Gone Baby Gone,R,English,2007,English - Mature,Not found
Doctor Sleep,R,English,2019,English - Mature,Not found
A Simple Favor,R,English,2018,English - Mature,Not found
Prometheus,R,English,2012,English - Mature,Not found
Olympus Has Fallen,R,English,2013,English - Mature,Not found
Revolutionary Road,R,English,2008,English - Mature,Not found
We Are What We Are,R,English,2013,English - Mature,Not found
Split Decisions,R,English,1988,English - Mature,Not found
Hood of Horror,R,English,2006,English - Mature,Not found
The Place Beyond the Pines,R,English,2012,English - Mature,Not found
Carol,R,English,2015,English - Mature,Not found
Onegin,R,English,1999,English - Mature,Not found
An Awfully Big Adventure,R,English,1995,English - Mature,Not found
The Running Man,R,English,1987,English - Mature,Not found
Death Proof,R,English,2007,English - Mature,Not found
Under the Skin,R,English,2013,English - Mature,Not found
RoboCop,R,English,1987,English - Mature,Not found
Ghost Ship,R,English,2002,English - Mature,Not found
Porno,TV-MA,English,2019,English - Mature,Not found
A Few Good Men,R,English,1992,English - Mature,Not found
Your Monster,R,English,2024,English - Mature,Not found
Él,TV-MA,English,2019,English - Mature,Not found
Hands of the Ripper,R,English,1971,English - Mature,Not found
Extraction,R,English,2020,English - Mature,Not found
Polar,TV-MA,English,2019,English - Mature,Not found
Bad Boys II,R,English,2003,English - Mature,Not found
The Descent,R,English,2005,English - Mature,Not found
The French Dispatch,R,English,2021,English - Mature,Not found
Evil Dead II,R,English,1987,English - Mature,Not found
Fallen,R,English,1998,English - Mature,Not found
Upgrade,R,English,2018,English - Mature,Not found
Rambo: Last Blood,R,English,2019,English - Mature,Not found
A Star Is Born,R,English,2018,English - Mature,Not found
Ghost Team One,R,English,2013,English - Mature,Not found
Mother!,R,English,2017,English - Mature,Not found
The Devil's Advocate,R,English,1997,English - Mature,Not found
Sher Mountain Killings Mystery,R,English,1990,English - Mature,3.4
Love & Other Drugs,TV-MA,English,2015,English - Mature,Not found
Logan,R,English,2017,English - Mature,Not found
The Happening,R,English,2008,English - Mature,Not found
The Girl Next Door,R,English,2004,English - Mature,Not found
Little Children,R,English,2006,English - Mature,Not found
The Guilty,R,English,2021,English - Mature,Not found
Jersey Shore Massacre,R,English,2014,English - Mature,Not found
Collateral,R,English,2004,English - Mature,Not found
The Matrix Resurrections,R,English,2021,English - Mature,Not found
Idiocracy,R,English,2006,English - Mature,Not found
Boardinghouse,R,English,1982,English - Mature,Not found
Zombie High,R,English,1987,English - Mature,Not found
Abby,R,English,1974,English - Mature,Not found
Friends with Benefits,R,English,2011,English - Mature,Not found
The Exorcist,R,English,1973,English - Mature,Not found
Brokeback Mountain,R,English,2005,English - Mature,Not found
Jack-O,R,English,1995,English - Mature,Not found
Hannibal Rising,R,English,2007,English - Mature,Not found
The Hills Have Eyes,R,English,2006,English - Mature,Not found
"Rachel, Rachel",R,English,1968,English - Mature,Not found
Annihilation,R,English,2018,English - Mature,Not found
Argo,R,English,2012,English - Mature,Not found
Slugs,R,English,1988,English - Mature,Not found
The Menu,R,English,2022,English - Mature,Not found
A Teacher,TV-MA,English,2020,English - Mature,Not found
Bullet Train,R,English,2022,English - Mature,Not found
A Dangerous Method,R,English,2011,English - Mature,Not found
Army of the Dead,R,English,2021,English - Mature,Not found
Fear,R,English,1996,English - Mature,Not found
Law Abiding Citizen,R,English,2009,English - Mature,Not found
Next of Kin,R,English,1989,English - Mature,Not found
Terminator: Dark Fate,R,English,2019,English - Mature,Not found
JFK,R,English,1991,English - Mature,Not found
L.A. Confidential,R,English,1997,English - Mature,Not found
The Gift,R,English,2015,English - Mature,Not found
Sin City,R,English,2005,English - Mature,Not found
Sunshine,R,English,2007,English - Mature,Not found
Mother Krampus,R,English,2017,English - Mature,Not found
Zero Dark Thirty,R,English,2012,English - Mature,Not found
Sundown: The Vampire in Retreat,R,English,1989,English - Mature,Not found
Last of the Grads,TV-MA,English,2021,English - Mature,3.5
Organ Trail,R,English,2023,English - Mature,Not found
Mortal Kombat,R,English,2021,English - Mature,Not found
Blade Runner,R,English,1982,English - Mature,Not found
Cape Fear,R,English,1991,English - Mature,Not found
Ex Machina,R,English,2014,English - Mature,Not found
Following,R,English,1998,English - Mature,Not found
Zack Snyder's Justice League,R,English,2021,English - Mature,Not found
Predestination,R,English,2014,English - Mature,Not found
Beast Within,R,English,2019,English - Mature,3.5
The Ballad of Buster Scruggs,R,English,2018,English - Mature,Not found
Lima: Breaking the Silence,R,English,1999,English - Mature,3.5
976-EVIL,R,English,1988,English - Mature,Not found
Slaughterhouse of the Rising Sun,R,English,2005,English - Mature,3.5
Happily,R,English,2021,English - Mature,Not found
Desert Hearts,R,English,1985,English - Mature,Not found
Masterless,TV-MA,English,2015,English - Mature,3.5
Bad Times at the El Royale,R,English,2018,English - Mature,Not found
6 Underground,R,English,2019,English - Mature,Not found
Aliens,R,English,1986,English - Mature,Not found
Donnie Darko,R,English,2001,English - Mature,Not found
Crash,R,English,2004,English - Mature,Not found
Hitman's Wife's Bodyguard,R,English,2021,English - Mature,Not found
Atonement,R,English,2007,English - Mature,Not found
Buried,R,English,2010,English - Mature,Not found
Her,R,English,2013,English - Mature,Not found
Don't Look Up,R,English,2021,English - Mature,Not found
The Boy in Blue,R,English,1986,English - Mature,Not found
Underworld,R,English,2003,English - Mature,Not found
Den of Thieves,R,English,2018,English - Mature,Not found
A Clockwork Orange,R,English,1971,English - Mature,Not found
Hot Fuzz,R,English,2007,English - Mature,Not found
Life,R,English,2017,English - Mature,Not found
A Creature was Stirring,R,English,2023,English - Mature,Not found
Riddick,R,English,2013,English - Mature,Not found
Snowpiercer,R,English,2013,English - Mature,Not found
Speed,R,English,1994,English - Mature,Not found
Predator,R,English,1987,English - Mature,Not found
Witchery,R,English,1989,English - Mature,Not found
Ancient Evil: Scream of the Mummy,R,English,2000,English - Mature,Not found
Outpost,R,English,2008,English - Mature,Not found
Prey,R,English,2022,English - Mature,Not found
Shattered,R,English,2007,English - Mature,3.4
I'm Thinking of Ending Things,R,English,2020,English - Mature,Not found
The Matrix,R,English,1999,English - Mature,Not found
The Pale Blue Eye,R,English,2022,English - Mature,Not found
X,R,English,2022,English - Mature,Not found
Apocalypse Now,R,English,1979,English - Mature,Not found
Bridget Jones: The Edge of Reason,R,English,2004,English - Mature,Not found
Annabelle Comes Home,R,English,2019,English - Mature,Not found
The Old Guard,R,English,2020,English - Mature,Not found
Satan's Slave,R,English,1976,English - Mature,Not found
The Lobster,R,English,2015,English - Mature,Not found
A Time to Kill,R,English,1996,English - Mature,Not found
Total Recall,R,English,1990,English - Mature,Not found
Hannibal,R,English,2001,English - Mature,Not found
The Butterfly Effect,R,English,2004,English - Mature,Not found
Saw,R,English,2004,English - Mature,Not found
Joy of Sex,R,English,1984,English - Mature,Not found
Bird Box,R,English,2018,English - Mature,Not found
Birds of Paradise,R,English,2021,English - Mature,3.4
Inside Man,R,English,2006,English - Mature,Not found
The Game,R,English,1997,English - Mature,Not found
Deadpool 2,R,English,2018,English - Mature,Not found
Starship Troopers,R,English,1997,English - Mature,Not found
The Blair Witch Project,R,English,1999,English - Mature,Not found
Spenser Confidential,R,English,2020,English - Mature,Not found
Sundown,R,English,2021,English - Mature,Not found
The Reader,R,English,2008,English - Mature,Not found
The Man from Hong Kong,R,English,1975,English - Mature,Not found
War Pigs,R,English,2015,English - Mature,Not found
Scream 3,R,English,2000,English - Mature,Not found
Sin City: A Dame to Kill For,R,English,2014,English - Mature,Not found
Secretary,R,English,2002,English - Mature,Not found
"As Above, So Below",R,English,2014,English - Mature,Not found
The Power of the Dog,R,English,2021,English - Mature,Not found
Blue Valentine,R,English,2010,English - Mature,Not found
Fire on the Amazon,R,English,1993,English - Mature,Not found
Hammer of the Gods,R,English,2013,English - Mature,Not found
Lost Highway,R,English,1997,English - Mature,Not found
The Invisible Man,R,English,2020,English - Mature,Not found
Licorice Pizza,R,English,2021,English - Mature,Not found
The Ritual,TV-MA,English,2017,English - Mature,Not found
Evil Dead,R,English,2013,English - Mature,Not found
Piranha 3D,R,English,2010,English - Mature,Not found
Angel Has Fallen,R,English,2019,English - Mature,Not found
Moon,R,English,2009,English - Mature,Not found
Silver Linings Playbook,R,English,2012,English - Mature,Not found
No Strings Attached,R,English,2011,English - Mature,Not found
Funny Games,R,English,2007,English - Mature,Not found
There's Something About Mary,R,English,1998,English - Mature,Not found
Aces: Iron Eagle III,R,English,1992,English - Mature,Not found
The Rocky Horror Picture Show,R,English,1975,English - Mature,Not found
The Guard,R,English,2011,English - Mature,Not found
Anna Karenina,R,English,2012,English - Mature,Not found
Marriage Story,R,English,2019,English - Mature,Not found
"Cherry, Harry & Raquel!",R,English,1969,English - Mature,Not found
Boudica,R,English,2023,English - Mature,Not found
Dark City,R,English,1998,English - Mature,Not found
The Road Warrior,R,English,1981,English - Mature,Not found
FDR: American Badass!,R,English,2012,English - Mature,Not found
Black Belt Jones,R,English,1974,English - Mature,Not found
The Gypsy Moths,R,English,1969,English - Mature,Not found
What We Do in the Shadows,R,English,2014,English - Mature,Not found
Cat Run 2,R,English,2014,English - Mature,Not found
Before Sunrise,R,English,1995,English - Mature,Not found
The Last of the Mohicans,R,English,1992,English - Mature,Not found
I Am Vengeance: Retaliation,R,English,2020,English - Mature,Not found
Jeepers Creepers,R,English,2001,English - Mature,Not found
Blood Craft,TV-MA,English,2019,English - Mature,3.2
Training Day,R,English,2001,English - Mature,Not found
Point Break,R,English,1991,English - Mature,Not found
Zombie Women of Satan,R,English,2009,English - Mature,3.2
The Dreamers,NC-17,English,2003,English - Mature,Not found
Up in the Air,R,English,2009,English - Mature,Not found
Broken Flowers,R,English,2005,English - Mature,Not found
Self Storage,R,English,2013,English - Mature,3.1
Winter's Bone,R,English,2010,English - Mature,Not found
The Highwaymen,R,English,2019,English - Mature,Not found
Unleashed,R,English,2005,English - Mature,Not found
The Darjeeling Limited,R,English,2007,English - Mature,Not found
Mad Max: Fury Road,R,English,2015,English - Mature,Not found
Fear Below,R,English,2025,English - Mature,Not found
Allied,R,English,2016,English - Mature,Not found
Mr. Nobody,R,English,2009,English - Mature,Not found
Good Will Hunting,R,English,1997,English - Mature,Not found
Call Me by Your Name,R,English,2017,English - Mature,Not found
What Happened to Monday,TV-MA,English,2017,English - Mature,Not found
The Mule,R,English,2018,English - Mature,Not found
Poolman,R,English,2023,English - Mature,Not found
The Strangers,R,English,2008,English - Mature,Not found
This Is 40,R,English,2012,English - Mature,Not found
Uncut Gems,R,English,2019,English - Mature,Not found
Wild Things,R,English,1998,English - Mature,Not found
Double Agent 73,R,English,1974,English - Mature,Not found
Sideways,R,English,2004,English - Mature,Not found
Heretic,R,English,2024,English - Mature,3.2
Dirty Harry,R,English,1971,English - Mature,Not found
The Town,R,English,2010,English - Mature,Not found
The Evil Dead,NC-17,English,1981,English - Mature,Not found
Shot Caller,R,English,2017,English - Mature,Not found
Tinker Tailor Soldier Spy,R,English,2011,English - Mature,Not found
We Need to Talk About Kevin,R,English,2011,English - Mature,Not found
Grosse Pointe Blank,R,English,1997,English - Mature,Not found
Pride & Prejudice,R,English,2014,English - Mature,Not found
Nocturnal Animals,R,English,2016,English - Mature,Not found
I Care a Lot,R,English,2020,English - Mature,Not found
Along Came a Spider,R,English,2001,English - Mature,Not found
The Punisher,TV-MA,English,2017–2019,English - Mature,Not found
Psycho,R,English,1960,English - Mature,Not found
Street Tales of Terror,R,English,2004,English - Mature,3.3
Wedding Crashers,R,English,2005,English - Mature,Not found
Scary Movie 2,R,English,2001,English - Mature,Not found
Four Brothers,R,English,2005,English - Mature,Not found
The Boondock Saints,R,English,1999,English - Mature,Not found
Bridesmaids,R,English,2011,English - Mature,Not found
Sweeney Todd: The Demon Barber of Fleet Street,R,English,2007,English - Mature,Not found
Cruel Intentions,R,English,1999,English - Mature,Not found
Gamer,R,English,2009,English - Mature,Not found
Hellraiser,R,English,1987,English - Mature,Not found
An American Werewolf in London,R,English,1981,English - Mature,Not found
Air Force One,R,English,1997,English - Mature,Not found
A Nightmare on Elm Street,R,English,1984,English - Mature,Not found
Resident Evil,R,English,2002,English - Mature,Not found
Rosemary's Baby,R,English,1968,English - Mature,Not found
Smokin' Aces,R,English,2006,English - Mature,Not found
Munich,R,English,2005,English - Mature,Not found
Patriot Games,R,English,1992,English - Mature,Not found
United 93,R,English,2006,English - Mature,Not found
Forgetting Sarah Marshall,R,English,2008,English - Mature,Not found
Hostel,R,English,2005,English - Mature,Not found
Pretty Woman,R,English,1990,English - Mature,Not found
The Chronicles of Riddick,R,English,2004,English - Mature,Not found
The Texas Chain Saw Massacre,R,English,1974,English - Mature,Not found
Safe House,R,English,2012,English - Mature,Not found
Hush,R,English,2016,English - Mature,Not found
The Autopsy of Jane Doe,R,English,2016,English - Mature,Not found
The Hitman's Bodyguard,R,English,2017,English - Mature,Not found
Eastern Promises,R,English,2007,English - Mature,Not found
The Firm,R,English,1993,English - Mature,Not found
Lucy,R,English,2014,English - Mature,Not found
The Fly,R,English,1986,English - Mature,Not found
London Has Fallen,R,English,2016,English - Mature,Not found
Outbreak,R,English,1995,English - Mature,Not found
Tucker and Dale vs Evil,R,English,2010,English - Mature,Not found
Rambo: First Blood Part II,R,English,1985,English - Mature,Not found
Pitch Black,R,English,2000,English - Mature,Not found
End of Watch,R,English,2012,English - Mature,Not found
Cloud Atlas,R,English,2012,English - Mature,Not found
The Expendables,R,English,2010,English - Mature,Not found
Silent Hill,R,English,2006,English - Mature,Not found
Different for Girls,R,English,1996,English - Mature,Not found
Speak No Evil,R,English,2024,English - Mature,3.3
Widow's Point,TV-MA,English,2019,English - Mature,3.2
Inglourious Basterds,R,English,2009,English - Mature,Not found
Almost Famous,R,English,2000,English - Mature,Not found
The Conjuring: The Devil Made Me Do It,R,English,2021,English - Mature,Not found
Monster,TV-MA,English,2022–,English - Mature,Not found
Friday the 13th,R,English,1980,English - Mature,Not found
Out of the Furnace,R,English,2013,English - Mature,Not found
Savages,R,English,2012,English - Mature,Not found
Bullet,R,English,1996,English - Mature,Not found
The Lincoln Lawyer,R,English,2011,English - Mature,Not found
The Babysitter,TV-MA,English,2017,English - Mature,Not found
Blade,R,English,1998,English - Mature,Not found
Spring Breakers,R,English,2012,English - Mature,Not found
"I Love You, Man",R,English,2009,English - Mature,Not found
They Live,R,English,1988,English - Mature,Not found
Blood Diamond,R,English,2006,English - Mature,Not found
Identity,R,English,2003,English - Mature,Not found
Lucky Number Slevin,R,English,2006,English - Mature,Not found
Green Room,R,English,2015,English - Mature,Not found
The Beach,R,English,2000,English - Mature,Not found
Lethal Weapon 2,R,English,1989,English - Mature,Not found
Mississippi Burning,R,English,1988,English - Mature,Not found
Insomnia,R,English,2002,English - Mature,Not found
Final Destination,R,English,2000,English - Mature,Not found
"The Good, the Bad and the Ugly",R,English,1966,English - Mature,Not found
Vacation,R,English,2015,English - Mature,Not found
Crimson Tide,R,English,1995,English - Mature,Not found
Chef,R,English,2014,English - Mature,Not found
Fear and Loathing in Las Vegas,R,English,1998,English - Mature,Not found
The Crazies,R,English,2010,English - Mature,Not found
National Lampoon's Vacation,R,English,1983,English - Mature,Not found
Scream 2,R,English,1997,English - Mature,Not found
Stand by Me,R,English,1986,English - Mature,Not found
Zombie Apocalypse: Redemption,R,English,2011,English - Mature,3.3
Cold Mountain,R,English,2003,English - Mature,Not found
The Last House on the Left,R,English,2009,English - Mature,Not found
Easy Rider,R,English,1969,English - Mature,Not found
Widows,R,English,2018,English - Mature,Not found
Wild at Heart,R,English,1990,English - Mature,Not found
Carrie,R,English,1976,English - Mature,Not found
The Dead Don't Die,R,English,2019,English - Mature,Not found
Defiance,R,English,2008,English - Mature,Not found
Shaun of the Dead,R,English,2004,English - Mature,Not found
Alien: Covenant,R,English,2017,English - Mature,Not found
The Equalizer 2,R,English,2018,English - Mature,Not found
Sleepers,R,English,1996,English - Mature,Not found
The Heat,R,English,2013,English - Mature,Not found
The Change-Up,R,English,2011,English - Mature,Not found
Daredevil,TV-MA,English,2015–2018,English - Mature,Not found
Bronson,R,English,2008,English - Mature,Not found
Fruitvale Station,R,English,2013,English - Mature,7.5
A Simple Plan,R,English,1998,English - Mature,7.5
Trick 'r Treat,R,English,2007,English - Mature,Not found
The Wicker Man,R,English,1973,English - Mature,3.8
Broken Arrow,R,English,1996,English - Mature,Not found
Blue Collar,R,English,1978,English - Mature,7.5
House of Sand and Fog,R,English,2003,English - Mature,7.5
Pineapple Express,R,English,2008,English - Mature,Not found
Hannie Caulder,R,English,1971,English - Mature,Not found
Changing Lanes,R,English,2002,English - Mature,6.5
3:10 to Yuma,R,English,2007,English - Mature,Not found
22 Jump Street,R,English,2014,English - Mature,Not found
The Unforgivable,R,English,2021,English - Mature,Not found
Super Troopers,R,English,2001,English - Mature,Not found
A Fish Called Wanda,R,English,1988,English - Mature,Not found
Wall Street,R,English,1987,English - Mature,Not found
The Body Tree,R,English,2017,English - Mature,3.8
Cube,R,English,1997,English - Mature,Not found
The Road,R,English,2009,English - Mature,Not found
Marathon Man,R,English,1976,English - Mature,7.4
Accident Man: Hitman's Holiday,R,English,2022,English - Mature,Not found
Saw 3D,R,English,2010,English - Mature,Not found
Only God Forgives,R,English,2013,English - Mature,Not found
Let's Be Cops,R,English,2014,English - Mature,Not found
Flight,R,English,2012,English - Mature,Not found
The Long Good Friday,R,English,1980,English - Mature,7.5
The Pyramid,R,English,2014,English - Mature,3.8
Glengarry Glen Ross,R,English,1992,English - Mature,Not found
Risky Business,R,English,1983,English - Mature,Not found
Perfume: The Story of a Murderer,R,English,2006,English - Mature,Not found
Dogville,R,English,2003,English - Mature,Not found
This Is the End,R,English,2013,English - Mature,Not found
Lust for Freedom,R,English,1987,English - Mature,3.8
The Player,R,English,1992,English - Mature,7.5
The Mexican,R,English,2001,English - Mature,Not found
Meatcleaver Massacre,R,English,1976,English - Mature,3.8
Trumbo,R,English,2015,English - Mature,7.4
The Faculty,R,English,1998,English - Mature,Not found
The Blues Brothers,R,English,1980,English - Mature,Not found
Get Real,R,English,1998,English - Mature,7.5
You Were Never Really Here,R,English,2017,English - Mature,Not found
Pain & Gain,R,English,2013,English - Mature,Not found
Anna,R,English,2019,English - Mature,Not found
Aporia,R,English,2023,English - Mature,3.8
Man on Fire,R,English,2004,English - Mature,Not found
Ali,R,English,2001,English - Mature,Not found
Inherent Vice,R,English,2014,English - Mature,Not found
The Last Stand,R,English,2013,English - Mature,Not found
Husbands and Wives,R,English,1992,English - Mature,7.5
Dangerous Liaisons,R,English,1988,English - Mature,7.5
Lord of War,R,English,2005,English - Mature,Not found
Rounders,R,English,1998,English - Mature,Not found
Spy Game,R,English,2001,English - Mature,Not found
The Brides Wore Blood,R,English,1972,English - Mature,3.8
High Fidelity,R,English,2000,English - Mature,Not found
Gone Girl,R,English,2014,English - Mature,Not found
Horrible Bosses 2,R,English,2014,English - Mature,Not found
The Judge,R,English,2014,English - Mature,Not found
30 Minutes or Less,R,English,2011,English - Mature,Not found
The Devil's Rejects,R,English,2005,English - Mature,Not found
Natural Born Killers,R,English,1994,English - Mature,Not found
Paranormal Activity 3,R,English,2011,English - Mature,Not found
The Fisher King,R,English,1991,English - Mature,7.5
American Made,R,English,2017,English - Mature,Not found
Horrible Bosses,R,English,2011,English - Mature,Not found
Focus,R,English,2015,English - Mature,Not found
Midnight Express,R,English,1978,English - Mature,7.5
The Brothers Grimsby,R,English,2016,English - Mature,Not found
A Bronx Tale,R,English,1993,English - Mature,Not found
The Texas Chainsaw Massacre,R,English,2003,English - Mature,Not found
Disconnect,R,English,2012,English - Mature,7.5
Identity Thief,R,English,2013,English - Mature,Not found
Sausage Party,R,English,2016,English - Mature,Not found
Analyze This,R,English,1999,English - Mature,Not found
The Hills Have Eyes Part II,R,English,1984,English - Mature,Not found
The New Centurions,R,English,1972,English - Mature,Not found
The Naked Cage,R,English,1986,English - Mature,Not found
Funny Games,R,English,2007,English - Mature,7.5
The Whole Nine Yards,R,English,2000,English - Mature,Not found
The Kids Are All Right,R,English,2010,English - Mature,Not found
The Octagon,R,English,1980,English - Mature,Not found
Notes on a Scandal,R,English,2006,English - Mature,7.4
M*A*S*H,R,English,1970,English - Mature,7.3
The Death of Dick Long,R,English,2019,English - Mature,Not found
A Nightmare on Elm Street,R,English,1984,English - Mature,Not found
Mechanic: Resurrection,R,English,2016,English - Mature,Not found
Sexy Beast,R,English,2000,English - Mature,7.3
Ten Inch Hero,R,English,2007,English - Mature,7.3
Doppelganger,R,English,1993,English - Mature,Not found
Torture Dungeon,R,English,1969,English - Mature,3.9
Another Day in Paradise,R,English,1998,English - Mature,Not found
The Amityville Harvest,R,English,2020,English - Mature,2.6
Filth,R,English,2013,English - Mature,Not found
Dead Man Walking,R,English,1995,English - Mature,Not found
Bloodline,TV-MA,English,2015–2017,English - Mature,Not found
Dracula,R,English,1992,English - Mature,Not found
Eye in the Sky,R,English,2015,English - Mature,7.3
The Hangover Part III,R,English,2013,English - Mature,Not found
Final Move,R,English,2006,English - Mature,3.8
Four Lions,R,English,2010,English - Mature,7.3
Gold,R,English,2016,English - Mature,7.3
Waking the Dead,R,English,2000,English - Mature,Not found
Get Hard,R,English,2015,English - Mature,Not found
"Nico, 1988",R,English,2017,English - Mature,Not found
Dead Shack,R,English,2017,English - Mature,Not found
Looper,R,English,2012,English - Mature,Not found
Bloodsport,R,English,1988,English - Mature,Not found
Juice,R,English,1992,English - Mature,Not found
One Hour Photo,R,English,2002,English - Mature,Not found
Terminator 3: Rise of the Machines,R,English,2003,English - Mature,Not found
Isn't She Great,R,English,2000,English - Mature,Not found
Detroit,R,English,2017,English - Mature,7.3
Barton Fink,R,English,1991,English - Mature,Not found
Slumdog Millionaire,R,English,2008,English - Mature,Not found
Doll Factory,TV-MA,English,2014,English - Mature,3.9
Amistad,R,English,1997,English - Mature,7.3
The Man Who Wasn't There,R,English,2001,English - Mature,Not found
Eternal Evil,R,English,1985,English - Mature,3.9
The Nice Guys,R,English,2016,English - Mature,Not found
Youth,R,English,2015,English - Mature,7.3
Lucy in the Sky,R,English,2019,English - Mature,Not found
Remember,R,English,2015,English - Mature,3.9
Before Midnight,R,English,2013,English - Mature,Not found
Ghost Dog: The Way of the Samurai,R,English,1999,English - Mature,Not found
Dancer in the Dark,R,English,2000,English - Mature,Not found
Abigail Haunting,TV-MA,English,2020,English - Mature,3.8
Felon,R,English,2008,English - Mature,7.4
Immortal Beloved,R,English,1994,English - Mature,7.4
The Calling,R,English,2014,English - Mature,Not found
The Haunting of Julia,R,English,1977,English - Mature,Not found
Blow Out,R,English,1981,English - Mature,7.4
Primal Fear,R,English,1996,English - Mature,Not found
Autopsy,R,English,2008,English - Mature,Not found
The Warriors,R,English,1979,English - Mature,Not found
