movie_name,rating,language,year,label_lang_rating,USER RATING
Expect the Unexpected,Not Rated,Cantonese,1998,Cantonese - Unknown,Not found
The Sleep Curse,,Cantonese,2017,Cantonese - Unknown,Not found
A Chinese Ghost Story II,Unrated,Cantonese,1990,Cantonese - Unknown,Not found
Flirting Scholar,,Cantonese,1993,Cantonese - Unknown,7.6
King of Comedy,,Cantonese,1999,Cantonese - Unknown,Not found
"All's Well, Ends Well",Not Rated,Cantonese,1992,Cantonese - Unknown,Not found
Enter the Game of Death,Not Rated,Cantonese,1978,Cantonese - Unknown,5.4
Fat Choi Spirit,,Cantonese,2002,Cantonese - Unknown,Not found
The Redeemers,,Cantonese,2020,Cantonese - Unknown,5.3
Chinese Odyssey 2002,,Cantonese,2002,Cantonese - Unknown,Not found
Si da tian wang,,Cantonese,1987,Cantonese - Unknown,5.1
Treasure Inn,,Cantonese,2011,Cantonese - Unknown,5.4
Our Neighbour Detective,,Cantonese,1995,Cantonese - Unknown,5.2
Double Tap,Not Rated,Cantonese,2000,Cantonese - Unknown,5.1
Enter the Warriors Gate,PG-13,Central Khmer,2016,Central Khmer - Teen,Not found
The Dead End,,Chinese,2015,Chinese - Unknown,Not found
Boonie Bears: The Wild Life,TV-Y,Chinese,2020,Chinese - Unknown,4.7
King's Feast,,Chinese,2019,Chinese - Unknown,Not found
The Final Master,Not Rated,Chinese,2015,Chinese - Unknown,Not found
Liang Shanbo yu Zhu Yingtai,,Chinese,1954,Chinese - Unknown,7.3
VR Fighter,,Chinese,2021,Chinese - Unknown,5.1
Wu ji,,Chinese,2020–,Chinese - Unknown,Not found
The Untamed,,Chinese,2019,Chinese - Unknown,Not found
Carry On,TV-PG,Chinese,2014,Chinese - Unknown,Not found
Justin de Marseille,,Chinese,1935,Chinese - Unknown,6.6
Pali Road,Not Rated,Chinese,2015,Chinese - Unknown,Not found
Tian xian pei,,Chinese,1955,Chinese - Unknown,7.1
Chico & Rita,,Croatian,2001,Croatian - Unknown,7.2
Crnci,,Croatian,2009,Croatian - Unknown,6.0
Ecstasy,TV-MA,Czech,1933,Czech - Mature,Not found
Dark Blue World,R,Czech,2001,Czech - Mature,Not found
Distant Journey,,Czech,1949,Czech - Unknown,7.3
Enchanted Feather,,Czech,2020,Czech - Unknown,4.7
"Workers, Let's Go",Approved,Czech,1934,Czech - Unknown,7.2
Transport z ráje,,Czech,1963,Czech - Unknown,7.1
Shoky & Morthy: Last Big Thing,,Czech,2021,Czech - Unknown,5.8
Harvie and the Magic Museum,,Czech,2017,Czech - Unknown,4.1
Little Crusader,,Czech,2017,Czech - Unknown,5.4
Late August at the Hotel Ozone,,Czech,1967,Czech - Unknown,6.6
Valerie and Her Week of Wonders,Not Rated,Czech,1970,Czech - Unknown,7.0
A Journey to the Beginning of Time,Not Rated,Czech,1955,Czech - Unknown,Not found
Nuda v Brne,,Czech,2003,Czech - Unknown,6.9
Ivan the Incredible,PG,Danish,2012,Danish - Family,4.4
A Second Chance,TV-MA,Danish,2014,Danish - Mature,6.0
The Hunt,R,Danish,2012,Danish - Mature,Not found
The Nurse,TV-MA,Danish,2023,Danish - Mature,4.5
A Beautiful Life,TV-MA,Danish,2023,Danish - Mature,Not found
Mariannes bryllup eller hævnen er bitter,,Danish,1958,Danish - Unknown,5.8
Johnny Larsen,,Danish,1979,Danish - Unknown,6.7
Flickering Lights,Not Rated,Danish,2000,Danish - Unknown,7.5
Riders of Justice,Not Rated,Danish,2020,Danish - Unknown,7.5
Ingen skal sove,,Danish,2019,Danish - Unknown,5.3
Blind makker,,Danish,1976,Danish - Unknown,5.1
The Venus Effect,,Danish,2021,Danish - Unknown,6.2
Antboy 3,Not Rated,Danish,2016,Danish - Unknown,5.0
Margrete: Queen of the North,Unrated,Danish,2021,Danish - Unknown,Not found
Into the Darkness,,Danish,2020,Danish - Unknown,Not found
Elves,,Danish,2021,Danish - Unknown,4.2
The Commune,Not Rated,Danish,2016,Danish - Unknown,5.0
A Taste of Hunger,,Danish,2021,Danish - Unknown,Not found
What We Become,Not Rated,Danish,2015,Danish - Unknown,Not found
Kærestesorger,,Danish,2014,Danish - Unknown,6.5
Rembrandt,,Danish,2002,Danish - Unknown,Not found
Checkered Ninja,Not Rated,Danish,2018,Danish - Unknown,Not found
Dreambuilders,Not Rated,Danish,2020,Danish - Unknown,Not found
Miss Minoes,PG,Dutch,2001,Dutch - Family,Not found
A Turtle's Tale: Sammy's Adventures,PG,Dutch,2010,Dutch - Family,Not found
The Resistance Banker,TV-MA,Dutch,2018,Dutch - Mature,6.9
Black Book,R,Dutch,2006,Dutch - Mature,7.7
Character,R,Dutch,1997,Dutch - Mature,7.7
Het schnitzelparadijs,,Dutch,2005,Dutch - Unknown,Not found
Voor elkaar gemaakt,,Dutch,2017,Dutch - Unknown,6.3
Liefde zonder grenzen,,Dutch,2021,Dutch - Unknown,6.2
"Ernst, Bobbie en de geslepen Onix",,Dutch,2007,Dutch - Unknown,5.9
Snuf de hond en de IJsvogel,,Dutch,2010,Dutch - Unknown,5.3
The Claus Family 2,TV-PG,Dutch,2021,Dutch - Unknown,Not found
Lost Transport,,Dutch,2022,Dutch - Unknown,6.1
Bings Kerstfeest en andere Verhalen,,Dutch,2020,Dutch - Unknown,Not found
Piet Piraat en de betoverde kroon,,Dutch,2005,Dutch - Unknown,5.7
Süskind,,Dutch,2012,Dutch - Unknown,Not found
Alle tijd,,Dutch,2011,Dutch - Unknown,6.7
Penny's Shadow,,Dutch,2011,Dutch - Unknown,6.0
One Night... a Train,,Dutch,1968,Dutch - Unknown,6.8
Promise of Pisa,,Dutch,2019,Dutch - Unknown,Not found
Ex Drummer,Not Rated,Dutch,2007,Dutch - Unknown,6.9
The Columnist,,Dutch,2019,Dutch - Unknown,Not found
The Claus Family 3,,Dutch,2022,Dutch - Unknown,4.6
Smoorverliefd,,Dutch,2013,Dutch - Unknown,Not found
App,Not Rated,Dutch,2013,Dutch - Unknown,Not found
Infiltrant,,Dutch,2014,Dutch - Unknown,5.9
All Stars,,Dutch,1997,Dutch - Unknown,Not found
Foodies,,Dutch,2022,Dutch - Unknown,5.7
Black Out,Not Rated,Dutch,2012,Dutch - Unknown,Not found
Dormis,,Dutch,2022,Dutch - Unknown,7.1
Small Gods,,Dutch,2007,Dutch - Unknown,6.3
Secrets of War,,Dutch,2014,Dutch - Unknown,Not found
"Bloed, zweet & tranen",,Dutch,2015,Dutch - Unknown,7.1
Oesters van Nam Kee,,Dutch,2002,Dutch - Unknown,Not found
The Club of Ugly Children,,Dutch,2019,Dutch - Unknown,6.6
Fashion Chicks,,Dutch,2015,Dutch - Unknown,5.1
Clockstoppers,PG,English,2002,English - Family,5.2
First Daughter,PG,English,2004,English - Family,5.2
Chicken Run: Dawn of the Nugget,PG,English,2023,English - Family,6.3
A Little Inside,PG,English,1999,English - Family,5.6
Dolittle,PG,English,2020,English - Family,5.6
George of the Jungle,PG,English,1997,English - Family,5.6
Zookeeper,PG,English,2011,English - Family,5.2
Quest for Camelot,G,English,1998,English - Family,6.3
The Great Buck Howard,PG,English,2008,English - Family,6.4
Mirror Mirror,PG,English,2012,English - Family,5.6
Romancing the Stone,PG,English,1984,English - Family,Not found
Loco Love,PG,English,2003,English - Family,5.3
Wide Awake,PG,English,1998,English - Family,6.4
Trenchcoat,PG,English,1983,English - Family,5.2
Racing Stripes,PG,English,2005,English - Family,5.2
Came a Hot Friday,PG,English,1985,English - Family,6.4
Saint-Ex,PG,English,1996,English - Family,5.2
The Valachi Papers,PG,English,1972,English - Family,6.4
Gandhi,PG,English,1982,English - Family,Not found
October Sky,PG,English,1999,English - Family,Not found
Benji: Off the Leash!,PG,English,2004,English - Family,5.2
The Astronaut Farmer,PG,English,2006,English - Family,6.3
Stay Tuned,PG,English,1992,English - Family,6.3
Splash,PG,English,1984,English - Family,6.3
A Home of Our Own,PG,English,1993,English - Family,Not found
No Reservations,PG,English,2007,English - Family,6.3
Cocoon: The Return,PG,English,1988,English - Family,5.4
The Tamarind Seed,PG,English,1974,English - Family,Not found
Coma,PG,English,1978,English - Family,6.3
Chasing 3000,PG,English,2010,English - Family,6.3
Escape from the Planet of the Apes,G,English,1971,English - Family,6.3
"Good Night, and Good Luck.",PG,English,2005,English - Family,Not found
Top Gun,PG,English,1986,English - Family,Not found
Home on the Range,PG,English,2004,English - Family,5.4
Evita,PG,English,1996,English - Family,6.3
Hanky Panky,PG,English,1982,English - Family,Not found
Ella Enchanted,PG,English,2004,English - Family,6.3
The Jungle Book 2,G,English,2003,English - Family,5.3
Odd Squad: The Movie,G,English,2016,English - Family,6.3
"Another Man, Another Chance",PG,English,1977,English - Family,6.3
Raiders of the Lost Ark,PG,English,1981,English - Family,Not found
Hotel Transylvania 3: Summer Vacation,PG,English,2018,English - Family,6.3
City Beneath the Sea,G,English,1971,English - Family,5.4
Sparkle: A Unicorn Tale,PG,English,2023,English - Family,5.3
Memoria,PG,English,2021,English - Family,6.4
The Ten Commandments,G,English,1956,English - Family,Not found
Dinosaur,PG,English,2000,English - Family,6.4
City of Ember,PG,English,2008,English - Family,6.4
Henry VIII and His Six Wives,PG,English,1972,English - Family,Not found
Disenchanted,PG,English,2022,English - Family,5.6
Apollo 13,PG,English,1995,English - Family,Not found
The Secret Life of Pets 2,PG,English,2019,English - Family,6.4
Star Trek: Insurrection,PG,English,1998,English - Family,6.4
Fantastic Four: Rise of the Silver Surfer,PG,English,2007,English - Family,Not found
Night at the Museum: Secret of the Tomb,PG,English,2014,English - Family,Not found
Peter Pan,G,English,1953,English - Family,Not found
Taking 5,PG,English,2007,English - Family,5.5
One Fine Day,PG,English,1996,English - Family,6.5
Brainstorm,PG,English,1983,English - Family,6.6
The Perfect Man,PG,English,2005,English - Family,5.5
99 and 44/100% Dead!,PG,English,1974,English - Family,5.5
Flubber,PG,English,1997,English - Family,Not found
"Corrina, Corrina",PG,English,1994,English - Family,6.6
Short Circuit,PG,English,1986,English - Family,6.6
The Curse of the Were-Rabbit,G,English,2005,English - Family,Not found
