movie_id,movie_name,genre
tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi"
tt0075860,Close Encounters of the Third Kind,"Drama, Sci-Fi"
tt0319262,The Day After Tomorrow,"Action, Adventure, Sci-Fi"
tt0407304,War of the Worlds,"Action, Adventure, Sci-Fi"
tt0770828,Man of Steel,"Action, Adventure, Sci-Fi"
tt0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi"
tt2543164,Arrival,"Drama, Mystery, Sci-Fi"
tt3315342,Logan,"Action, Drama, Sci-Fi"
tt5834426,Moonfall,"Action, Adventure, Sci-Fi"
tt6823368,Glass,"Drama, Horror, Sci-Fi"
tt10838180,The Matrix Resurrections,"Action, Sci-Fi"
tt2527338,Star Wars: The Rise Of Skywalker,"Action, Adventure, Fantasy"
tt4513678,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy"
tt3659388,The Martian,"Adventure, Drama, Sci-Fi"
tt0387808,Idiocracy,"Adventure, Comedy, Sci-Fi"
tt0093870,RoboCop,"Action, Crime, Sci-Fi"
tt3480822,Black Widow,"Action, Adventure, Sci-Fi"
tt9376612,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy"
tt1840309,Divergent,"Action, Adventure, Mystery"
tt0120915,Star Wars: Episode I - The Phantom Menace,"Action, Adventure, Fantasy"
tt0848228,The Avengers,"Action, Sci-Fi"
tt1441395,Under the Skin,"Drama, Horror, Mystery"
tt0418279,Transformers,"Action, Adventure, Sci-Fi"
tt2488496,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi"
tt5108870,Morbius,"Action, Adventure, Horror"
tt20969586,Thunderbolts,"Action, Adventure, Crime"
tt0371746,Iron Man,"Action, Adventure, Sci-Fi"
tt0289043,28 Days Later,"Drama, Horror, Sci-Fi"
tt1790864,The Maze Runner,"Action, Mystery, Sci-Fi"
tt1446714,Prometheus,"Adventure, Mystery, Sci-Fi"
tt1190080,2012,"Action, Adventure, Sci-Fi"
tt8332922,A Quiet Place Part II,"Drama, Horror, Sci-Fi"
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi"
tt0181689,Minority Report,"Action, Crime, Mystery"
tt2463208,The Adam Project,"Action, Adventure, Comedy"
tt0816711,World War Z,"Action, Adventure, Horror"
tt2798920,Annihilation,"Adventure, Drama, Horror"
tt9783600,Spiderhead,"Action, Crime, Drama"
tt0084787,The Thing,"Horror, Mystery, Sci-Fi"
tt0884328,The Mist,"Horror, Sci-Fi, Thriller"
tt1104001,Tron: Legacy,"Action, Adventure, Sci-Fi"
tt4881806,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi"
tt0212720,A.I. Artificial Intelligence,"Drama, Sci-Fi"
tt3967856,Okja,"Action, Adventure, Drama"
tt0409459,Watchmen,"Action, Drama, Mystery"
tt3501632,Thor: Ragnarok,"Action, Adventure, Comedy"
tt0451279,Wonder Woman,"Action, Adventure, Fantasy"
tt0437086,Alita: Battle Angel,"Action, Adventure, Sci-Fi"
tt0119654,Men in Black,"Action, Adventure, Comedy"
tt1477834,Aquaman,"Action, Adventure, Fantasy"
tt2975590,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi"
tt0116996,Mars Attacks!,"Comedy, Sci-Fi"
tt2250912,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi"
tt3896198,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy"
tt0093773,Predator,"Action, Adventure, Horror"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy"
tt0120591,Armageddon,"Action, Adventure, Sci-Fi"
tt2222042,Love and Monsters,"Action, Adventure, Comedy"
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi"
tt3371366,Transformers: The Last Knight,"Action, Adventure, Sci-Fi"
tt0087332,Ghostbusters,"Action, Comedy, Fantasy"
tt0369610,Jurassic World,"Action, Adventure, Sci-Fi"
tt0087182,Dune,"Action, Adventure, Sci-Fi"
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy"
tt2395427,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi"
tt0119081,Event Horizon,"Horror, Sci-Fi, Thriller"
tt0120201,Starship Troopers,"Action, Adventure, Sci-Fi"
tt0120903,X-Men,"Action, Adventure, Sci-Fi"
tt0083866,E.T.,"Adventure, Family, Sci-Fi"
tt0910970,WALL·E,"Animation, Adventure, Family"
tt0100802,Total Recall,"Action, Adventure, Sci-Fi"
tt8228288,The Platform,"Horror, Sci-Fi, Thriller"
tt0086567,WarGames,"Action, Drama, Sci-Fi"
tt8912936,DC League of Super-Pets,"Animation, Action, Adventure"
tt3498820,Captain America: Civil War,"Action, Sci-Fi"
tt12412888,Sonic the Hedgehog 2,"Action, Adventure, Comedy"
tt0993840,Army of the Dead,"Action, Crime, Drama"
tt0974015,Justice League,"Action, Adventure, Fantasy"
tt6450804,Terminator: Dark Fate,"Action, Adventure, Sci-Fi"
tt2737304,Bird Box,"Horror, Mystery, Sci-Fi"
tt0796366,Star Trek,"Action, Adventure, Sci-Fi"
tt0090305,Weird Science,"Comedy, Romance, Sci-Fi"
tt0217869,Unbreakable,"Drama, Mystery, Sci-Fi"
tt4154664,Captain Marvel,"Action, Adventure, Sci-Fi"
tt5442430,Life,"Horror, Sci-Fi, Thriller"
tt0434409,V for Vendetta,"Action, Drama, Sci-Fi"
tt2316204,Alien: Covenant,"Horror, Sci-Fi, Thriller"
tt0293429,Mortal Kombat,"Action, Adventure, Fantasy"
tt0079501,Mad Max,"Action, Adventure, Sci-Fi"
tt0343818,"I, Robot","Action, Mystery, Sci-Fi"
tt2527336,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy"
tt1637688,In Time,"Action, Sci-Fi, Thriller"
tt0121766,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy"
tt2397535,Predestination,"Action, Drama, Sci-Fi"
tt0949731,The Happening,"Adventure, Drama, Sci-Fi"
tt1179933,10 Cloverfield Lane,"Drama, Horror, Mystery"
tt4682266,The New Mutants,"Action, Horror, Mystery"
tt0114558,Strange Days,"Crime, Drama, Sci-Fi"
tt0093894,The Running Man,"Action, Sci-Fi, Thriller"
tt0409847,Cowboys & Aliens,"Action, Sci-Fi, Thriller"
tt2935510,Ad Astra,"Adventure, Drama, Mystery"
tt1706620,Snowpiercer,"Action, Drama, Sci-Fi"
tt0108255,Super Mario Bros.,"Adventure, Comedy, Family"
tt5034838,Godzilla vs. Kong,"Action, Sci-Fi, Thriller"
tt4779682,The Meg,"Action, Horror, Sci-Fi"
tt1060277,Cloverfield,"Action, Adventure, Horror"
tt3778644,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi"
tt0114746,12 Monkeys,"Mystery, Sci-Fi, Thriller"
tt0206634,Children of Men,"Action, Drama, Sci-Fi"
tt1211837,Doctor Strange,"Action, Adventure, Fantasy"
tt1300854,Iron Man Three,"Action, Adventure, Sci-Fi"
tt1411250,Riddick,"Action, Adventure, Sci-Fi"
tt4731136,A Cure for Wellness,"Drama, Fantasy, Horror"
tt0463854,28 Weeks Later,"Action, Adventure, Horror"
tt0111282,Stargate,"Action, Adventure, Sci-Fi"
tt0844471,Cloudy with a Chance of Meatballs,"Animation, Adventure, Comedy"
tt9777666,The Tomorrow War,"Action, Adventure, Drama"
tt10298810,Lightyear,"Animation, Action, Adventure"
tt3385516,X-Men: Apocalypse,"Action, Adventure, Sci-Fi"
tt1409024,Men in Black 3,"Action, Adventure, Comedy"
tt0413300,Spider-Man 3,"Action, Adventure, Sci-Fi"
tt0448134,Sunshine,"Sci-Fi, Thriller"
tt2239822,Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy"
tt0181852,Terminator 3: Rise of the Machines,"Action, Sci-Fi"
tt0120647,Deep Impact,"Action, Drama, Sci-Fi"
tt1650062,Super 8,"Action, Mystery, Sci-Fi"
tt0133751,The Faculty,"Horror, Mystery, Sci-Fi"
tt0480249,I Am Legend,"Action, Drama, Horror"
tt1231587,Hot Tub Time Machine,"Comedy, Sci-Fi"
tt0094012,Spaceballs,"Adventure, Comedy, Sci-Fi"
tt1843866,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi"
tt0149261,Deep Blue Sea,"Action, Adventure, Sci-Fi"
tt0259711,Vanilla Sky,"Fantasy, Mystery, Romance"
tt1454468,Gravity,"Drama, Sci-Fi, Thriller"
tt0078346,Superman,"Action, Adventure, Sci-Fi"
tt7097896,Venom: Let There Be Carnage,"Action, Sci-Fi, Thriller"
tt6320628,Spider-Man: Far from Home,"Action, Adventure, Comedy"
tt1219289,Limitless,"Sci-Fi, Thriller"
tt0124298,Blast from the Past,"Comedy, Drama, Romance"
tt0948470,The Amazing Spider-Man,"Action, Adventure, Sci-Fi"
tt1389072,Downsizing,"Drama, Fantasy, Sci-Fi"
tt0119094,Face/Off,"Action, Crime, Sci-Fi"
tt3606756,Incredibles 2,"Animation, Action, Adventure"
tt0121765,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy"
tt1270797,Venom,"Action, Adventure, Sci-Fi"
tt2660888,Star Trek Beyond,"Action, Adventure, Sci-Fi"
tt1136608,District 9,"Action, Sci-Fi, Thriller"
tt0118688,Batman & Robin,"Action, Sci-Fi"
tt5886046,Escape Room,"Action, Adventure, Horror"
tt5774060,Underwater,"Action, Horror, Sci-Fi"
tt0082340,Escape from New York,"Action, Adventure, Sci-Fi"
tt6565702,X-Men: Dark Phoenix,"Action, Adventure, Sci-Fi"
tt8695030,The Dead Don't Die,"Comedy, Fantasy, Horror"
tt1270798,X: First Class,"Action, Sci-Fi"
tt0096256,They Live,"Action, Horror, Sci-Fi"
tt0120611,Blade,"Action, Horror, Sci-Fi"
tt1323594,Despicable Me,"Animation, Adventure, Comedy"
tt0120912,Men in Black II,"Action, Adventure, Comedy"
tt1490017,The Lego Movie,"Animation, Action, Adventure"
tt0800080,The Incredible Hulk,"Action, Adventure, Sci-Fi"
tt0091064,The Fly,"Drama, Horror, Sci-Fi"
tt2872732,Lucy,"Action, Sci-Fi, Thriller"
tt0134847,Pitch Black,"Action, Horror, Sci-Fi"
tt2109248,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi"
tt4287320,The Circle,"Drama, Sci-Fi, Thriller"
tt1663662,Pacific Rim,"Action, Adventure, Sci-Fi"
tt0118884,Contact,"Drama, Mystery, Sci-Fi"
tt6499752,Upgrade,"Action, Sci-Fi, Thriller"
tt4701182,Bumblebee,"Action, Adventure, Sci-Fi"
tt0096754,The Abyss,"Adventure, Drama, Mystery"
tt10539608,The Midnight Sky,"Adventure, Drama, Sci-Fi"
tt1371111,Cloud Atlas,"Drama, Mystery, Sci-Fi"
tt0120804,Resident Evil,"Action, Horror, Sci-Fi"
tt0096874,Back to the Future Part II,"Adventure, Comedy, Sci-Fi"
tt1440129,Battleship,"Action, Adventure, Sci-Fi"
tt1877832,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi"
